extension,repos,files
.md,17763,2067380
.gitignore,17137,136353
,16869,1507423
.yml,15406,593472
.txt,13542,1541544
.json,12758,3328306
.png,12141,9148364
.sh,11290,349869
.html,10306,3875065
.js,10076,10629093
.css,9209,1152609
.xml,9030,1271268
.py,7714,1992912
.svg,7440,3426354
.jpg,6110,471820
.yaml,5994,405337
.ico,5696,51348
.lock,5440,23278
.gif,5082,548338
.gitattributes,4965,10795
.bat,4732,43163
.in,4434,100684
.editorconfig,4333,11630
.ttf,4300,96247
.h,4127,2195546
.cfg,4101,69825
.conf,4076,75636
.properties,3640,202262
.woff,3633,93914
.ini,3583,119113
.c,3565,1017260
.java,3555,5687426
.rst,3363,268545
.eot,3331,57158
.pdf,3308,110209
.scss,3205,330331
.map,3064,1257652
.ts,3063,1275106
.gitmodules,3017,4049
.csv,2739,215133
.zip,2714,98512
.woff2,2641,73809
.toml,2574,22974
.cpp,2549,1134080
.jar,2549,138403
.php,2475,2380195
.rb,2317,762373
.gitkeep,2303,17060
.sql,2276,306214
.config,2156,50977
.gz,2133,231438
.log,2060,94816
.dockerignore,1980,3847
.npmignore,1919,39696
.eslintignore,1912,4425
.patch,1800,174665
.otf,1793,22114
.sln,1769,28194
.eslintrc,1677,8055
.babelrc,1649,5550
.1,1644,33482
.pl,1637,52918
.less,1554,139583
.exe,1527,17221
.template,1512,19265
.ds_store,1497,7466
.pem,1488,31365
.gradle,1469,44090
.cmd,1466,15517
.jshintrc,1466,7053
.dat,1454,231153
.ps1,1434,26043
.cs,1410,1526440
.proto,1354,82222
.plist,1342,29240
.dll,1326,83480
.po,1324,172426
.project,1288,17566
.iml,1284,10608
.go,1278,2964670
.markdown,1272,55024
.jpeg,1238,20033
.github/codeowners,1230,1450
.cc,1218,368809
.cmake,1216,46196
.example,1192,4421
.csproj,1179,70587
.mod,1133,24681
.rc,1127,13245
.hpp,1123,1082482
.mk,1114,29940
.db,1091,14039
.key,1088,7878
.xsd,1085,44967
.coveragerc,1084,1290
.env,1070,5284
.am,1048,39907
.bin,1033,35331
.ac,1019,4296
.m4,1005,25189
.ipynb,997,43278
.inc,996,83004
.orig,988,5804
.prettierignore,988,1632
.prettierrc,988,1550
.spec,984,8956
.service,972,9404
.m,971,188983
.crt,959,13719
.swp,956,2384
.pro,948,22458
.bak,946,4586
.tmpl,941,30353
.sum,939,14755
.htaccess,929,5590
.tex,913,54912
.clang-format,913,1706
.htm,912,181683
.bmp,907,30273
.s,903,87883
.dist,879,9993
.xsl,874,32421
.out,866,78691
.pot,858,8502
.coffee,849,53220
.enc,848,3553
.old,841,3299
.erb,838,114205
.psd,824,8261
.bash,811,4910
.keep,810,8655
.tpl,806,52872
.0,796,10393
.prefs,773,30658
.icns,769,5220
.tsx,766,157531
.classpath,741,11933
.pbxproj,739,7005
.vcxproj,731,29367
.sample,727,5216
.props,725,12045
.swf,721,9236
.nvmrc,719,1054
.wav,717,23508
.desktop,717,8311
.def,710,13265
.gemspec,705,5633
.so,702,12745
.mp3,700,26386
.mp4,698,4752
.pyc,696,35179
.xlsx,695,9705
.npmrc,691,2220
.flake8,674,749
.jsx,670,99898
.nuspec,662,6450
.mailmap,659,1105
.lua,658,105954
.xcf,658,6521
.test,655,181375
.opts,651,2829
.manifest,639,5117
.bowerrc,633,1127
.filters,632,19230
.kt,630,324821
.docx,622,7427
.mo,620,49614
.ruby-version,602,746
.hbs,600,33911
.groovy,585,90278
.mf,583,11069
.diff,576,12336
.resx,575,48536
.ui,563,25464
.class,562,144090
.3,559,18834
.settings,556,9288
.name,556,2639
.info,554,20115
.targets,550,4017
.build,549,11506
.lib,544,9944
.feature,538,35375
.install,535,11108
.el,534,32622
.dtd,531,5669
.jscsrc,529,851
.snap,526,27329
.list,523,3890
.tgz,522,22468
.rtf,516,6433
.a,515,16631
.2,515,6592
.mjs,512,17001
.scala,508,306293
.sub,508,2742
.r,504,38268
.guess,502,1799
.user,500,3576
.xcworkspacedata,497,3567
.rspec,495,1521
.doc,491,4216
.ru,491,3457
.o,490,18207
.bib,490,7354
.xcscheme,488,6144
.swift,485,158567
.rake,485,6920
.license,482,3032
.dot,472,8982
.5,472,2824
.vue,471,58363
.cnf,468,3587
.nojekyll,466,682
.pdb,456,14096
.browserslistrc,456,750
.rules,455,4454
.pylintrc,455,572
.dockerfile,444,4012
.adoc,442,31648
.pub,441,2384
.vcproj,440,19947
.d,436,16467
.rs,433,70331
.hgignore,431,625
.eps,430,8054
.typed,429,1719
.tsv,428,10271
.webp,419,70337
.ogg,419,35175
.mm,418,42575
.metadata,418,3489
.data,417,11481
.asm,415,24665
.jshintignore,414,629
.xib,413,10767
.pm,411,74501
.storyboard,407,5458
.ejs,405,13323
.ai,403,2120
.bz2,401,10105
.husky/pre-commit,398,416
.bzl,394,5763
.qrc,394,4522
.tar,394,3260
.y,391,1829
.vim,388,15964
.strings,387,33893
.8,382,3646
.org,378,3773
.inv,373,1171
.sbt,370,6688
.default,370,1803
.xls,369,4106
.jsp,367,40280
.sass,366,11922
.4,364,4785
.cjs,364,3226
.cvsignore,362,10687
.j2,360,11081
.7,360,2556
.cache,359,3001
.snk,358,2305
.pptx,357,3320
.readme,357,1003
.neon,356,2610
.rdoc,356,2209
.pickle,351,1208
.6,348,1897
.webmanifest,347,801
.tmp,346,2669
.docs,346,1118
.header,341,6332
.asc,330,2649
.org/x/net/license,326,629
.dotsettings,324,1093
.xaml,321,27573
.dev,321,794
.org/x/sys/license,319,554
.org/x/net/patents,316,529
.cxx,315,85856
.types,314,25437
.nsi,313,1123
.xpm,312,18899
.odt,312,2758
.stylelintrc,312,443
.bazel,310,32694
.buildinfo,310,571
.org/x/sys/patents,310,472
.sty,309,3341
.obj,308,12876
.tif,308,6531
.awk,308,1680
.flowconfig,304,1957
.pyx,302,4272
.tiff,295,7672
.tx/config,295,332
.v2/license,293,765
.org/x/net/authors,293,391
.org/x/net/contributors,293,391
.org/x/text/license,292,483
.org/x/sys/authors,291,380
.org/x/sys/contributors,291,380
.twig,289,59190
.suo,289,1162
.sqlite,289,900
.com/golang/protobuf/license,289,544
.init,288,2038
.org/x/crypto/license,286,468
.common,285,510
.bsd,284,1257
.libyaml,282,490
.org/x/text/patents,282,403
.pch,280,3628
.org/x/crypto/patents,280,399
.lst,278,3010
.local,278,643
.i,277,21527
.mustache,277,16527
.dsp,277,5011
.cur,277,3480
.mak,276,4260
.doctree,274,12664
.xcconfig,273,10246
.dox,272,6634
.dylib,272,4553
.styl,271,14049
.org/x/net/http2/readme,269,370
.cshtml,268,30255
.ignore,268,1599
.org/x/net/http2/dockerfile,268,364
.jade,267,11762
.disabled,263,2111
.org/x/net/http2/makefile,263,358
.org/x/text/authors,263,341
.org/x/text/contributors,263,341
.kts,262,13064
.xslt,262,2929
.jks,261,2715
.golden,260,11076
.iss,258,1399
.csslintrc,258,428
.md5,257,47612
.t,257,33369
.com/golang/protobuf/authors,257,322
.com/golang/protobuf/contributors,257,322
.debian,256,800
.empty,255,6981
.org/x/crypto/authors,254,303
.org/x/crypto/contributors,254,303
.raw,253,4562
.ps,252,3321
.p12,250,1059
.tf,248,22349
.vm,248,9551
.entitlements,248,1367
.php_cs,248,538
.gpg,246,58001
.version,246,1972
.hh,243,23118
.srl,243,511
.com/davecgh/go-spew/license,243,404
.dsw,242,1503
.nycrc,242,734
.pri,241,4595
.xhtml,240,29814
.l,239,15528
.exp,235,69842
.csr,235,1016
.sed,235,924
.com/pkg/errors/license,235,353
.nupkg,234,4854
.v2/notice,232,316
.dia,231,2555
.ods,230,1163
.wsdl,229,2850
.supp,229,508
.hs,228,37443
.gyp,228,10089
.text,228,9985
.git-blame-ignore-revs,228,232
.nix,227,48875
.podspec,226,3528
.linux,226,549
.trampolinerc,226,231
.xz,224,2519
.frag,223,32002
.pc,221,1511
.inl,220,17512
.rdf,220,5786
.src,219,4636
.cgi,219,1960
.glsl,216,13372
.tcl,215,29021
.launch,215,4420
.com/sirupsen/logrus/license,214,533
.haml,213,36135
.org/grpc/license,213,373
.com/spf13/pflag/license,211,400
.modulemap,210,2366
.clang-tidy,209,439
.tab,206,3644
.mit,206,851
.org/x/oauth2/license,205,391
.com/pmezard/go-difflib/license,205,303
.pfx,204,873
.v1/license,204,704
.pyi,203,16280
.script,202,1941
.res,201,9507
.com,201,2693
.cer,201,1577
.com/gogo/protobuf/license,201,376
.hgtags,201,285
.com/stretchr/testify/license,200,282
.pp,199,13613
.9,199,1069
.chm,199,619
.org/appengine/license,199,296
.watchmanconfig,195,483
.sublime-project,195,329
.io/license,195,284
.org/x/oauth2/authors,194,285
.org/x/oauth2/contributors,194,285
.org/grpc/makefile,194,251
.ftl,193,15290
.mat,193,11635
.make,193,4393
.postinst,193,1816
.pom,192,7647
.bazelrc,192,553
.f,191,36340
.graffle,191,1332
.org/genproto/license,191,287
.0/license,190,1695
